ID,Marka,Rok_produkcji,Przebieg_km,Pojemnosc_silnika,Rodzaj_paliwa,Bezwypadkowy,Cena_PLN
1,Toyota,2015,145000,1.8,Hybryda,Tak,52000
2,Skoda,2018,78000,1.4,Benzyna,Tak,61000
3,BMW,2016,180000,2.0,Diesel,Nie,75000
4,Volkswagen,2019,54000,1.5,Benzyna,Tak,82000
5,Audi,2014,210000,3.0,Diesel,Nie,68000
6,Ford,2017,112000,1.0,Benzyna,Tak,45000
7,Toyota,2021,25000,2.0,Hybryda,Tak,115000
8,Honda,2010,240000,1.8,Benzyna,Nie,22000
9,Skoda,2020,41000,2.0,Diesel,Tak,95000
10,BMW,2011,280000,2.0,Diesel,Nie,32000
11,Volkswagen,2015,160000,1.6,Diesel,Tak,41000
12,Ford,2019,67000,1.5,Benzyna,Tak,58000
13,Audi,2020,55000,2.0,Benzyna,Tak,145000
14,Toyota,2012,195000,1.4,Diesel,Nie,26000
15,Honda,2018,88000,1.5,Benzyna,Tak,67000
16,Skoda,2016,140000,1.4,Benzyna,Tak,49000
17,BMW,2019,72000,3.0,Diesel,Tak,185000
18,Volkswagen,2013,220000,2.0,Diesel,Nie,36000
19,Ford,2015,155000,1.6,Diesel,Nie,31000
20,Audi,2017,125000,2.0,Diesel,Tak,89000
21,Toyota,2022,15000,1.8,Hybryda,Tak,125000
22,Honda,2014,170000,2.0,Benzyna,Nie,42000
23,Skoda,2019,60000,1.5,Benzyna,Tak,78000
24,BMW,2015,185000,2.0,Diesel,Nie,63000
25,Volkswagen,2021,30000,2.0,Benzyna,Tak,110000
26,Ford,2011,210000,1.6,Benzyna,Nie,18000
27,Audi,2018,95000,2.0,Benzyna,Tak,115000
28,Toyota,2016,130000,1.2,Benzyna,Tak,46000
29,Honda,2020,45000,1.5,Benzyna,Tak,89000
30,Skoda,2017,110000,2.0,Diesel,Tak,65000
31,BMW,2013,240000,2.0,Diesel,Nie,41000
32,Volkswagen,2018,85000,1.4,Benzyna,Tak,69000
33,Ford,2020,50000,2.0,Diesel,Tak,82000
34,Audi,2015,175000,2.0,Diesel,Nie,59000
35,Toyota,2019,70000,1.8,Hybryda,Tak,88000
36,Honda,2012,200000,2.2,Diesel,Nie,28000
37,Skoda,2021,20000,1.5,Benzyna,Tak,105000
38,BMW,2018,90000,2.0,Benzyna,Tak,120000
39,Volkswagen,2016,145000,2.0,Diesel,Nie,54000
40,Ford,2014,190000,1.0,Benzyna,Nie,25000
41,Audi,2021,35000,2.0,Diesel,Tak,160000
42,Toyota,2017,115000,1.5,Benzyna,Tak,53000
43,Honda,2019,65000,1.5,Benzyna,Tak,82000
44,Skoda,2014,210000,1.6,Diesel,Nie,33000
45,BMW,2020,40000,2.0,Diesel,Tak,145000
46,Volkswagen,2012,250000,1.4,Benzyna,Nie,22000
47,Ford,2018,105000,1.5,Diesel,Tak,51000
48,Audi,2016,160000,3.0,Diesel,Nie,92000
49,Toyota,2013,185000,2.0,Diesel,Nie,38000
50,Honda,2021,25000,2.0,Hybryda,Tak,135000
